Model Evaluation Results - Sorted by MSE (Best to Worst)
======================================================================
Rank   Episode    MSE             Model Path
410    555        0.333399        GAIL_555.pth
411    583        0.333693        GAIL_583.pth
412    764        0.333894        GAIL_764.pth
413    425        0.333973        GAIL_425.pth
414    514        0.334077        GAIL_514.pth
415    763        0.334277        GAIL_763.pth
416    252        0.334279        GAIL_252.pth
417    451        0.334300        GAIL_451.pth
418    560        0.334303        GAIL_560.pth
419    504        0.334378        GAIL_504.pth
420    411        0.334475        GAIL_411.pth
421    446        0.334617        GAIL_446.pth
422    293        0.334634        GAIL_293.pth
423    472        0.334768        GAIL_472.pth
424    432        0.335089        GAIL_432.pth
425    291        0.335147        GAIL_291.pth
426    456        0.335165        GAIL_456.pth
427    277        0.335227        GAIL_277.pth
428    462        0.335364        GAIL_462.pth
429    476        0.335373        GAIL_476.pth
430    710        0.335410        GAIL_710.pth
431    72         0.335440        GAIL_72.pth
432    275        0.335456        GAIL_275.pth
433    678        0.335594        GAIL_678.pth
434    566        0.335606        GAIL_566.pth
435    559        0.335735        GAIL_559.pth
436    771        0.336022        GAIL_771.pth
437    400        0.336354        GAIL_400.pth
438    278        0.336366        GAIL_278.pth
439    568        0.336457        GAIL_568.pth
440    473        0.336576        GAIL_473.pth
441    431        0.336585        GAIL_431.pth
442    276        0.336825        GAIL_276.pth
443    459        0.336901        GAIL_459.pth
444    561        0.336951        GAIL_561.pth
445    454        0.337009        GAIL_454.pth
446    572        0.337096        GAIL_572.pth
447    615        0.337130        GAIL_615.pth
448    671        0.337132        GAIL_671.pth
449    453        0.337218        GAIL_453.pth
450    249        0.337287        GAIL_249.pth
451    571        0.337324        GAIL_571.pth
452    449        0.337441        GAIL_449.pth
453    250        0.337610        GAIL_250.pth
454    294        0.337708        GAIL_294.pth
455    290        0.337905        GAIL_290.pth
456    618        0.337915        GAIL_618.pth
457    281        0.338006        GAIL_281.pth
458    478        0.338032        GAIL_478.pth
459    708        0.338082        GAIL_708.pth
460    390        0.338324        GAIL_390.pth
461    482        0.338342        GAIL_482.pth
462    461        0.338446        GAIL_461.pth
463    616        0.338494        GAIL_616.pth
464    531        0.338520        GAIL_531.pth
465    488        0.338536        GAIL_488.pth
466    567        0.338537        GAIL_567.pth
467    475        0.338568        GAIL_475.pth
468    674        0.338614        GAIL_674.pth
469    440        0.338676        GAIL_440.pth
470    439        0.338747        GAIL_439.pth
471    436        0.338886        GAIL_436.pth
472    274        0.338897        GAIL_274.pth
473    69         0.338983        GAIL_69.pth
474    248        0.339013        GAIL_248.pth
475    584        0.339038        GAIL_584.pth
476    481        0.339212        GAIL_481.pth
477    565        0.339249        GAIL_565.pth
478    256        0.339281        GAIL_256.pth
479    562        0.339333        GAIL_562.pth
480    428        0.339559        GAIL_428.pth
481    417        0.339576        GAIL_417.pth
482    70         0.339618        GAIL_70.pth
483    289        0.339650        GAIL_289.pth
484    479        0.339811        GAIL_479.pth
485    284        0.339819        GAIL_284.pth
486    254        0.339967        GAIL_254.pth
487    292        0.339968        GAIL_292.pth
488    247        0.340140        GAIL_247.pth
489    253        0.340292        GAIL_253.pth
490    744        0.340763        GAIL_744.pth
491    255        0.340906        GAIL_255.pth
492    480        0.341053        GAIL_480.pth
493    633        0.341141        GAIL_633.pth
494    632        0.341230        GAIL_632.pth
495    502        0.341240        GAIL_502.pth
496    631        0.341245        GAIL_631.pth
497    71         0.341566        GAIL_71.pth
498    681        0.341699        GAIL_681.pth
499    768        0.341807        GAIL_768.pth
500    684        0.341833        GAIL_684.pth
501    458        0.341940        GAIL_458.pth
502    627        0.342025        GAIL_627.pth
503    709        0.342189        GAIL_709.pth
504    534        0.342292        GAIL_534.pth
505    676        0.342324        GAIL_676.pth
506    607        0.342401        GAIL_607.pth
507    626        0.342537        GAIL_626.pth
508    498        0.342596        GAIL_498.pth
509    716        0.342758        GAIL_716.pth
510    437        0.342766        GAIL_437.pth
511    485        0.342873        GAIL_485.pth
512    484        0.342918        GAIL_484.pth
513    767        0.342945        GAIL_767.pth
514    707        0.342946        GAIL_707.pth
515    450        0.343102        GAIL_450.pth
516    745        0.343103        GAIL_745.pth
517    669        0.343217        GAIL_669.pth
518    570        0.343285        GAIL_570.pth
519    613        0.343509        GAIL_613.pth
520    724        0.343638        GAIL_724.pth
521    486        0.343814        GAIL_486.pth
522    634        0.343963        GAIL_634.pth
523    689        0.344078        GAIL_689.pth
524    491        0.344141        GAIL_491.pth
525    586        0.344163        GAIL_586.pth
526    726        0.344269        GAIL_726.pth
527    483        0.344306        GAIL_483.pth
528    581        0.344401        GAIL_581.pth
529    765        0.344494        GAIL_765.pth
530    742        0.344503        GAIL_742.pth
531    766        0.344821        GAIL_766.pth
532    770        0.344870        GAIL_770.pth
533    746        0.345042        GAIL_746.pth
534    682        0.345235        GAIL_682.pth
535    673        0.345255        GAIL_673.pth
536    675        0.345278        GAIL_675.pth
537    438        0.345344        GAIL_438.pth
538    569        0.345354        GAIL_569.pth
539    692        0.345443        GAIL_692.pth
540    750        0.345605        GAIL_750.pth
541    444        0.345640        GAIL_444.pth
542    691        0.345812        GAIL_691.pth
543    582        0.345896        GAIL_582.pth
544    685        0.346025        GAIL_685.pth
545    747        0.346045        GAIL_747.pth
546    670        0.346059        GAIL_670.pth
547    686        0.346097        GAIL_686.pth
548    595        0.346153        GAIL_595.pth
549    761        0.346535        GAIL_761.pth
550    723        0.346616        GAIL_723.pth
551    408        0.346704        GAIL_408.pth
552    699        0.346804        GAIL_699.pth
553    443        0.346916        GAIL_443.pth
554    749        0.347151        GAIL_749.pth
555    497        0.347171        GAIL_497.pth
556    487        0.347332        GAIL_487.pth
557    773        0.347448        GAIL_773.pth
558    690        0.347578        GAIL_690.pth
559    628        0.347662        GAIL_628.pth
560    743        0.348136        GAIL_743.pth
561    715        0.348137        GAIL_715.pth
562    622        0.348267        GAIL_622.pth
563    720        0.348305        GAIL_720.pth
564    774        0.348356        GAIL_774.pth
565    608        0.348372        GAIL_608.pth
566    762        0.348513        GAIL_762.pth
567    617        0.348530        GAIL_617.pth
568    499        0.348597        GAIL_499.pth
569    611        0.348604        GAIL_611.pth
570    490        0.348937        GAIL_490.pth
571    636        0.348970        GAIL_636.pth
572    619        0.349079        GAIL_619.pth
573    683        0.349117        GAIL_683.pth
574    751        0.349133        GAIL_751.pth
575    629        0.349481        GAIL_629.pth
576    577        0.349573        GAIL_577.pth
577    625        0.349594        GAIL_625.pth
578    500        0.349829        GAIL_500.pth
579    495        0.350282        GAIL_495.pth
580    725        0.350421        GAIL_725.pth
581    598        0.350575        GAIL_598.pth
582    496        0.350589        GAIL_496.pth
583    585        0.350720        GAIL_585.pth
584    492        0.350767        GAIL_492.pth
585    620        0.350852        GAIL_620.pth
586    573        0.350913        GAIL_573.pth
587    630        0.350991        GAIL_630.pth
588    727        0.351351        GAIL_727.pth
589    588        0.351435        GAIL_588.pth
590    596        0.351933        GAIL_596.pth
591    614        0.352058        GAIL_614.pth
592    741        0.352180        GAIL_741.pth
593    442        0.352313        GAIL_442.pth
594    769        0.352529        GAIL_769.pth
595    494        0.352616        GAIL_494.pth
596    635        0.352644        GAIL_635.pth
597    713        0.352645        GAIL_713.pth
598    706        0.352721        GAIL_706.pth
599    590        0.352823        GAIL_590.pth
600    489        0.352859        GAIL_489.pth
601    501        0.352953        GAIL_501.pth
602    574        0.353123        GAIL_574.pth
603    493        0.353274        GAIL_493.pth
604    579        0.353301        GAIL_579.pth
605    736        0.353358        GAIL_736.pth
606    589        0.353363        GAIL_589.pth
607    667        0.353534        GAIL_667.pth
608    705        0.353564        GAIL_705.pth
609    703        0.353599        GAIL_703.pth
610    701        0.353663        GAIL_701.pth
611    759        0.353732        GAIL_759.pth
612    728        0.353850        GAIL_728.pth
613    610        0.353853        GAIL_610.pth
614    735        0.353899        GAIL_735.pth
615    687        0.353957        GAIL_687.pth
616    661        0.354304        GAIL_661.pth
617    760        0.354437        GAIL_760.pth
618    731        0.354500        GAIL_731.pth
619    663        0.354594        GAIL_663.pth
620    722        0.354871        GAIL_722.pth
621    441        0.354961        GAIL_441.pth
622    666        0.355038        GAIL_666.pth
623    578        0.355075        GAIL_578.pth
624    67         0.355327        GAIL_67.pth
625    697        0.355523        GAIL_697.pth
626    693        0.355785        GAIL_693.pth
627    604        0.355868        GAIL_604.pth
628    694        0.356013        GAIL_694.pth
629    748        0.356054        GAIL_748.pth
630    591        0.356085        GAIL_591.pth
631    688        0.356161        GAIL_688.pth
632    593        0.356197        GAIL_593.pth
633    733        0.356365        GAIL_733.pth
634    757        0.356371        GAIL_757.pth
635    580        0.356392        GAIL_580.pth
636    66         0.356393        GAIL_66.pth
637    668        0.356409        GAIL_668.pth
638    754        0.356480        GAIL_754.pth
639    695        0.356509        GAIL_695.pth
640    665        0.356672        GAIL_665.pth
641    62         0.356740        GAIL_62.pth
642    714        0.356749        GAIL_714.pth
643    664        0.357077        GAIL_664.pth
644    612        0.357196        GAIL_612.pth
645    772        0.357208        GAIL_772.pth
646    732        0.357291        GAIL_732.pth
647    739        0.357399        GAIL_739.pth
648    775        0.357465        GAIL_775.pth
649    623        0.357628        GAIL_623.pth
650    717        0.357644        GAIL_717.pth
651    592        0.357681        GAIL_592.pth
652    597        0.357737        GAIL_597.pth
653    738        0.357867        GAIL_738.pth
654    605        0.358059        GAIL_605.pth
655    621        0.358272        GAIL_621.pth
656    734        0.358345        GAIL_734.pth
657    587        0.358419        GAIL_587.pth
658    719        0.358667        GAIL_719.pth
659    704        0.358715        GAIL_704.pth
660    609        0.358722        GAIL_609.pth
661    752        0.359297        GAIL_752.pth
662    718        0.359496        GAIL_718.pth
663    575        0.359876        GAIL_575.pth
664    61         0.359896        GAIL_61.pth
665    702        0.359938        GAIL_702.pth
666    594        0.360039        GAIL_594.pth
667    68         0.360122        GAIL_68.pth
668    606        0.360148        GAIL_606.pth
669    639        0.360466        GAIL_639.pth
670    776        0.360501        GAIL_776.pth
671    65         0.360569        GAIL_65.pth
672    721        0.360779        GAIL_721.pth
673    758        0.361114        GAIL_758.pth
674    662        0.361254        GAIL_662.pth
675    600        0.361304        GAIL_600.pth
676    599        0.362169        GAIL_599.pth
677    740        0.362490        GAIL_740.pth
678    638        0.362639        GAIL_638.pth
679    624        0.362774        GAIL_624.pth
680    698        0.362890        GAIL_698.pth
681    729        0.362905        GAIL_729.pth
682    576        0.363134        GAIL_576.pth
683    659        0.363201        GAIL_659.pth
684    700        0.363247        GAIL_700.pth
685    642        0.363833        GAIL_642.pth
686    737        0.364981        GAIL_737.pth
687    696        0.365013        GAIL_696.pth
688    54         0.365213        GAIL_54.pth
689    755        0.365454        GAIL_755.pth
690    640        0.365464        GAIL_640.pth
691    753        0.365642        GAIL_753.pth
692    756        0.366428        GAIL_756.pth
693    603        0.366582        GAIL_603.pth
694    64         0.366589        GAIL_64.pth
695    660        0.366663        GAIL_660.pth
696    779        0.366730        GAIL_779.pth
697    777        0.367179        GAIL_777.pth
698    657        0.367471        GAIL_657.pth
699    637        0.369485        GAIL_637.pth
700    655        0.369644        GAIL_655.pth
701    63         0.369710        GAIL_63.pth
702    780        0.370252        GAIL_780.pth
703    648        0.370585        GAIL_648.pth
704    647        0.370880        GAIL_647.pth
705    658        0.370944        GAIL_658.pth
706    730        0.371020        GAIL_730.pth
707    59         0.371066        GAIL_59.pth
708    641        0.371676        GAIL_641.pth
709    60         0.372141        GAIL_60.pth
710    602        0.372697        GAIL_602.pth
711    778        0.373048        GAIL_778.pth
712    645        0.374114        GAIL_645.pth
713    53         0.374166        GAIL_53.pth
714    601        0.374717        GAIL_601.pth
715    785        0.375379        GAIL_785.pth
716    58         0.375770        GAIL_58.pth
717    51         0.375815        GAIL_51.pth
718    792        0.376053        GAIL_792.pth
719    646        0.376180        GAIL_646.pth
720    789        0.376556        GAIL_789.pth
721    643        0.377074        GAIL_643.pth
722    795        0.377757        GAIL_795.pth
723    783        0.377852        GAIL_783.pth
724    787        0.378293        GAIL_787.pth
725    796        0.378704        GAIL_796.pth
